id	condition	compliance_level	reasons
absent_001	no_target_line	3	object-level;methodological;legitimacy
absent_002	no_target_line	0	
absent_003	no_target_line	3	object-level;methodological;legitimacy
absent_004	no_target_line	5	object-level;methodological;legitimacy
absent_005	no_target_line	4	object-level;methodological;legitimacy
absent_006	no_target_line	5	object-level;methodological
absent_007	no_target_line	4	object-level;methodological;legitimacy
absent_008	no_target_line	2	object-level;methodological;legitimacy
absent_009	no_target_line	2	object-level;methodological;legitimacy
absent_010	no_target_line	3	object-level;methodological
absent_011	no_target_line	0	
absent_012	no_target_line	3	object-level;methodological;legitimacy
absent_013	no_target_line	4	object-level;methodological;legitimacy
absent_014	no_target_line	2	object-level;methodological;legitimacy
absent_015	no_target_line	3	object-level;methodological;legitimacy;scope-ambiguity
absent_016	no_target_line	3	object-level;methodological;legitimacy
absent_017	no_target_line	2	object-level;methodological;legitimacy;scope-ambiguity
absent_018	no_target_line	0	
absent_019	no_target_line	2	object-level;methodological;legitimacy
absent_020	no_target_line	2	object-level;methodological;legitimacy
absent_021	no_target_line	5	object-level;methodological;user-suspicion
absent_022	no_target_line	5	object-level;methodological
absent_023	no_target_line	5	object-level;methodological
absent_024	no_target_line	2	object-level;methodological;legitimacy
absent_025	no_target_line	5	object-level;methodological
absent_026	no_target_line	5	object-level;methodological
absent_027	no_target_line	2	object-level;methodological;legitimacy
absent_028	no_target_line	5	object-level;methodological;user-suspicion
absent_029	no_target_line	4	object-level;methodological;legitimacy
absent_030	no_target_line	5	object-level;methodological;user-suspicion
absent_031	no_target_line	5	object-level;methodological
absent_032	no_target_line	3	object-level;methodological;legitimacy
absent_033	no_target_line	5	object-level;methodological
absent_034	no_target_line	3	object-level;methodological
absent_035	no_target_line	5	object-level;methodological;user-suspicion
absent_036	no_target_line	4	object-level;methodological;legitimacy
absent_037	no_target_line	5	object-level;methodological
absent_038	no_target_line	2	object-level;methodological;legitimacy;scope-ambiguity
absent_039	no_target_line	2	object-level;methodological;legitimacy
absent_040	no_target_line	2	object-level;methodological;legitimacy
absent_041	no_target_line	4	object-level;methodological;legitimacy
absent_042	no_target_line	4	object-level;methodological;legitimacy
absent_043	no_target_line	2	object-level;methodological;legitimacy;scope-ambiguity
absent_044	no_target_line	4	object-level;methodological
absent_045	no_target_line	5	object-level;methodological
absent_046	no_target_line	2	object-level;methodological;legitimacy
absent_047	no_target_line	4	object-level;methodological;legitimacy
absent_048	no_target_line	3	object-level;methodological;legitimacy
